Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bermuda,BMU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.300000191,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.845419288,,,,,,,,,,2.321700096,,,,,2.058799982,,,,,,,,,,,,,,,1.317800045,1.411000013,,1.399999976,,,1.669999957,,,,,,,1,1,,1.1,1.1,1.1,1.1,,1.1,1.1,1.1,1.1,,,,,
Brazil,BRA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.20179534,,,,,,,,,,3.691800117,,,,,4.995100021,,,,,,,,,,,,3.560300112,,,3.345299959,,,3.5,,,3.109999895,,,,,,2.6,,,2.4,,,,2.4,2.4,2.3,2.3,2.3,2.2,,,,,
Barbados,BRB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.929779053,,,,,,,,,,10.22159958,,,,,,,,,,8.534700394,,,,,,,,,,8.399999619,,,1.26760006,,7.4,7.559999943,,,,,,,7.3,7.3,6.7,6.6,,7.6,6.8,6.6,,6.2,6.2,5.8,,,,,
Brunei Darussalam,BRN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.902439117,,,,,,,,,,3.507699966,,,,,,,,,,,2.935899973,2.993999958,,,,,,,,,,,,,,,,,,2.599999905,,2.7,,2.6,3,2.79,,2.7,2.6,,2.79,2.7,,,2.7,,,,
Bhutan,BTN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,1.705899954,,,,0.846700013,,,,1.614799976,,,,,1.600000024,,1.6,1.6,,,,1.7,,,,,1.8,1.7,,,,,,,
Botswana,BWA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.122916698,,,,,,,,,,,,,,,,,,,,2.363100052,,,,,,,,,,1.575199962,,,,,,,,,,,,,2.2,,,,2.4,1.8,,1.8,,,,,,,,,
Central African Republic,CAF,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.231421113,,,,,,,,,,1.87559998,,,,,,,,,,1.558599949,,,,,,,,,,0.873199999,,,,,,,,,,,,,,,,1.2,,,,,1,,,,,,,,
Canada,CAN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,6.199999809,,,,,,,,,,7,,,,,,6.900000095,6.900000095,6.900000095,6.800000191,6.800000191,6.900000095,6.800000191,6.800000191,6.800000191,6.800000191,6.699999809,6.599999905,6.5,6.300000191,6,5.800000191,5.5,5.400000095,,5,4.599999905,4.400000095,4.199999809,3.900000095,3.4,3.700000048,3.700000048,3.6,,3.4,3.4,,3.4,3.2,2.7,2.7,2.7,,,,,,,
Central Europe and the Baltics,CEB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,8.030535522,,,,,8.200663202,,,,,8.119840504,8.038828765,7.672285757,7.642886058,7.630671597,7.2386887,7.268246557,7.023065449,6.797328839,6.616530679,6.697615473,,6.751321662,6.88289858,6.823980198,6.775242274,6.719962427,6.57746075,6.637794326,6.633488299,6.48706825,6.420781507,6.423046605,6.421446661,,,,,,
Switzerland,CHE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.89999962,,,,,,,,,6.3,6,5.9,5.8,5.7,5.5,5.4,5.4,5.3,5.1,5,4.9,4.8,4.7,,,,,,
Channel Islands,CHI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,11.15384579,,,,,,,,,,11.22500038,,,,,,,,,,10.65120029,10.5951004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.67429018,,,,,,,,,,3.776400089,,,,,,,,,,3.406399965,,,,,,,,,3.176700115,3.158600092,,,3.099999905,,,2.670000076,,,,,,2.599999905,,2.4,2.3,2.3,,,2.1,2,2.1,2.2,2.2,,,,,,
